"filename", "language", "CMake", "C++", "C", "Python", "Shell Script", "Markdown", "Makefile", "Rust", "Ruby", "XML", "YAML", "Ini", "Properties", "JSON", "reStructuredText", "pip requirements", "kconfig", "Docker", "Ignore", "Protocol Buffers", "JavaScript", "HTML", "CSS", "toml", "Perl", "comment", "blank", "total"
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/device/legacy.py", "Python", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/record_video.sh", "Shell Script", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/t1_hw_test.sh", "Shell Script", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 20
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/tpmb/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/tpmb/README.md", "Markdown", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/tpmb/arduino/tpmb.ino", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 78
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/tpmb/model/README.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/make_nonenglish_tests.py", "Python", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 167
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/posttest.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 53
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/prebuild.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 73
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/prepare_ui_artifacts.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/pyright/README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/pyright/generate-dependencies.sh", "Shell Script", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/pyright/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/test-nonenglish.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 588
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/test.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 52, 808
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/README.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/README.md", "Markdown", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 107
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/actinium.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/axe.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bcash.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bcash_testnet.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bgold.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bgold_testnet.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bitcoin.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bitcoin_regtest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bitcoin_testnet.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bitcore.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/bprivate.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/cpuchain.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/crown.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/dash.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/dash_testnet.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/decred.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/decred_testnet.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/digibyte.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/dogecoin.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/elements.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/feathercoin.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/saransh/Projects/Cypherrock/trezor-firmware/common/defs/bitcoin/firo.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
